# fps: 10.000000
# x,y,z,qx,qy,qz,qw
-0.187886,0.615935,0.546712,0.0547551,0.434208,-0.889248,0.133052
-0.19414,0.618494,0.570226,0.0387673,0.437994,-0.892094,0.10405
-0.191004,0.61841,0.576803,0.0222606,0.441299,-0.89391,0.0753929
-0.211432,0.624107,0.582269,0.00699993,0.441928,-0.895716,0.0484156
-0.227052,0.640783,0.585242,-0.00737323,0.443197,-0.896171,0.0200026
-0.231605,0.652953,0.593618,0.0232774,-0.44382,0.895783,0.00731338
-0.235087,0.650711,0.606524,0.0375521,-0.448219,0.892458,0.0347506
-0.231218,0.642489,0.624228,0.0538766,-0.448425,0.890042,0.061943
-0.220034,0.648441,0.655396,0.067961,-0.448917,0.88661,0.0881943
-0.227241,0.655053,0.663532,0.0847177,-0.448493,0.882395,0.114261
-0.215399,0.652635,0.67892,0.100946,-0.447959,0.877067,0.141053
-0.216804,0.668354,0.675522,0.116674,-0.44776,0.870381,0.168331
-0.207256,0.664141,0.687828,0.133001,-0.445028,0.864013,0.194276
-0.205417,0.675522,0.703218,0.147893,-0.442737,0.856333,0.22092
-0.202823,0.693082,0.708324,0.164013,-0.439407,0.848324,0.245699
-0.203132,0.709422,0.725119,0.178769,-0.43738,0.838974,0.26993
-0.183952,0.713648,0.752036,0.19387,-0.434808,0.829116,0.293125
-0.171741,0.744468,0.757243,0.209081,-0.431789,0.817195,0.31943
-0.166579,0.751684,0.777441,0.223437,-0.428151,0.804795,0.345062
-0.14281,0.763769,0.782547,0.239785,-0.42354,0.791803,0.369004
-0.122407,0.76448,0.784357,0.254005,-0.419629,0.777392,0.393769
-0.111062,0.753302,0.793985,0.268708,-0.41449,0.761985,0.418775
-0.0823223,0.757969,0.783372,0.282639,-0.406207,0.748061,0.442172
-0.0785495,0.765966,0.786184,0.297107,-0.400816,0.732606,0.462993
-0.0669453,0.779431,0.79825,0.311197,-0.394231,0.715805,0.485141
-0.04645,0.79326,0.798994,0.32517,-0.386816,0.698851,0.506207
-0.0309937,0.811717,0.797563,0.338465,-0.378729,0.681213,0.527215
-0.0207602,0.809515,0.811655,0.350264,-0.370897,0.66328,0.547549
-0.0168799,0.788317,0.82566,0.363028,-0.361169,0.644807,0.567443
-0.00930052,0.793419,0.833378,0.376724,-0.352502,0.623738,0.587173
0.00574325,0.786869,0.828253,0.38967,-0.342324,0.602508,0.606593
0.0311311,0.788713,0.827984,0.402331,-0.332112,0.580639,0.625051
0.0403334,0.781847,0.819285,0.414363,-0.321071,0.55931,0.642176
0.0593247,0.786595,0.826678,0.42465,-0.310287,0.536375,0.660073
0.064627,0.789218,0.819032,0.434998,-0.298598,0.515583,0.675123
0.0911259,0.807078,0.807854,0.444694,-0.287763,0.492205,0.690777
0.109705,0.803475,0.789782,0.454202,-0.276481,0.467152,0.706419
0.114432,0.796786,0.795281,0.462683,-0.265404,0.443604,0.720209
0.123416,0.779995,0.800644,0.472466,-0.252629,0.419506,0.732781
0.14278,0.769329,0.792565,0.482851,-0.23828,0.394379,0.744677
0.157123,0.761793,0.789515,0.490436,-0.224544,0.368907,0.756941
0.162599,0.764546,0.77803,0.498163,-0.210538,0.34234,0.768317
0.170781,0.759877,0.775476,0.505547,-0.196957,0.316146,0.778256
0.179152,0.76117,0.755484,0.511122,-0.182602,0.290292,0.788125
0.176429,0.766314,0.742755,0.516516,-0.169334,0.265739,0.796191
0.173294,0.772736,0.747697,0.520841,-0.155326,0.240129,0.804324
0.195623,0.779215,0.734287,0.526408,-0.138577,0.212743,0.811438
0.207127,0.771319,0.737727,0.530963,-0.12323,0.184811,0.817764
0.204839,0.766033,0.734887,0.535747,-0.106287,0.158126,0.822602
0.184379,0.755778,0.728942,0.538286,-0.0919746,0.134005,0.826941
0.193273,0.751448,0.725374,0.542193,-0.0771861,0.107028,0.829828
0.208591,0.754511,0.703609,0.542796,-0.0621352,0.0789079,0.833838
0.218371,0.758818,0.699328,0.544587,-0.0479478,0.0512173,0.835765
0.206623,0.742303,0.702848,0.544792,-0.0341253,0.0244672,0.837519
0.212652,0.714715,0.69325,0.545602,-0.0172338,-0.00238156,0.837864
0.217137,0.706366,0.681911,0.545181,-0.000848304,-0.0286556,0.837828
0.218128,0.720896,0.664907,0.544714,0.0166055,-0.0546212,0.836677
0.200114,0.718108,0.644996,0.545385,0.0326835,-0.081746,0.833549
0.211749,0.712752,0.634496,0.544442,0.0499917,-0.108428,0.830257
0.209396,0.703401,0.623588,0.54239,0.0654886,-0.136593,0.826358
0.197496,0.702474,0.620728,0.539637,0.0825759,-0.164489,0.821533
0.190681,0.696949,0.612255,0.53768,0.0980465,-0.191003,0.815356
0.187838,0.690804,0.605537,0.534038,0.114493,-0.217034,0.809068
0.196017,0.689006,0.60964,0.531623,0.13048,-0.244346,0.800404
0.202077,0.675928,0.610272,0.527756,0.145976,-0.269312,0.792235
0.195254,0.667206,0.606358,0.523257,0.162152,-0.294307,0.783129
0.179471,0.680365,0.587475,0.516404,0.178289,-0.319907,0.77408
0.162072,0.68231,0.574891,0.510263,0.193812,-0.344794,0.763666
0.160766,0.673146,0.566546,0.503535,0.209666,-0.368809,0.752644
0.162725,0.659111,0.5485,0.495799,0.224206,-0.39404,0.740707
0.152278,0.642643,0.530494,0.488835,0.239607,-0.418503,0.726969
0.152868,0.622352,0.520944,0.479811,0.2543,-0.442384,0.713729
0.135482,0.608904,0.515846,0.470793,0.269177,-0.465519,0.699422
0.131096,0.600559,0.506149,0.462242,0.284126,-0.487123,0.684336
0.107433,0.595924,0.502027,0.452439,0.296392,-0.508382,0.670073
0.0790442,0.576365,0.504331,0.443304,0.309409,-0.529645,0.653623
0.0698392,0.573892,0.488665,0.432179,0.322607,-0.54981,0.637853
0.0367937,0.582443,0.481057,0.420393,0.337434,-0.569178,0.620842
-0.0071205,0.589325,0.488619,0.409143,0.350142,-0.587818,0.603715
-0.0350309,0.594511,0.512971,0.398375,0.362079,-0.605713,0.585925
-0.0491755,0.604074,0.521605,0.386626,0.373923,-0.62381,0.567065
-0.0604085,0.613079,0.533065,0.374275,0.385174,-0.641225,0.548078
-0.0673243,0.608045,0.540666,0.36132,0.396785,-0.659102,0.526872
-0.0445385,0.597991,0.557646,0.346919,0.408482,-0.674716,0.507491
-0.0791143,0.589477,0.581043,0.33375,0.418275,-0.690077,0.487289
-0.0740912,0.601992,0.587784,0.318722,0.428042,-0.705322,0.466601
-0.0763332,0.609153,0.58972,0.304416,0.439598,-0.718831,0.444259
-0.0722928,0.610426,0.591741,0.288572,0.449236,-0.733106,0.42127
-0.0729764,0.615099,0.607172,0.273129,0.458159,-0.746203,0.398337
-0.0864738,0.610741,0.603754,0.257263,0.466438,-0.758625,0.375153
-0.0848337,0.633653,0.604763,0.240708,0.473856,-0.770456,0.352019
-0.102002,0.641385,0.599344,0.223256,0.480525,-0.78176,0.328792
-0.0924414,0.634691,0.606285,0.207546,0.488563,-0.790638,0.30516
-0.108017,0.644166,0.605912,0.188486,0.495443,-0.799373,0.282864
-0.116543,0.639063,0.608484,0.169331,0.501948,-0.807494,0.259478
-0.112219,0.634401,0.607844,0.151606,0.50818,-0.81438,0.235699
-0.114959,0.650871,0.611873,0.134134,0.51376,-0.820883,0.210263
-0.12814,0.663557,0.599453,0.11455,0.519501,-0.826308,0.184964
-0.128474,0.68392,0.615984,0.0969511,0.524915,-0.830504,0.159147
-0.129388,0.688063,0.61826,0.078247,0.528083,-0.834958,0.133606
-0.130634,0.687267,0.622483,0.0612373,0.531794,-0.837668,0.108428
-0.148903,0.687977,0.62563,0.0439472,0.534825,-0.839715,0.0831194
-0.162829,0.682775,0.635204,0.0247971,0.536664,-0.841418,0.0582465
-0.168126,0.681409,0.639705,0.00541828,0.538042,-0.842243,0.0332838
-0.17417,0.673197,0.650589,-0.0120531,0.538905,-0.842247,0.00746181
-0.182868,0.682315,0.65568,0.0315803,-0.540799,0.840358,0.0183812
-0.198138,0.672576,0.670389,0.0510025,-0.541524,0.837998,0.0437073
-0.205296,0.680822,0.687095,0.0700872,-0.540437,0.835652,0.0685688
-0.210202,0.665811,0.685739,0.0880517,-0.539146,0.832415,0.093028
-0.200991,0.67424,0.670376,0.106426,-0.536871,0.828809,0.116272
-0.226891,0.672893,0.67438,0.127269,-0.535416,0.822901,0.141305
-0.232849,0.698396,0.696545,0.146457,-0.532537,0.816885,0.166293
-0.231323,0.697882,0.718369,0.1663,-0.529561,0.809483,0.191431
-0.2352,0.71584,0.740353,0.185851,-0.527126,0.800749,0.215404
-0.240919,0.716893,0.736733,0.204387,-0.523198,0.792151,0.238719
-0.240604,0.724734,0.766361,0.222004,-0.519881,0.781975,0.262589
-0.248497,0.710492,0.775769,0.240379,-0.51504,0.772019,0.284496
-0.247174,0.718734,0.782031,0.258236,-0.510011,0.76088,0.307025
-0.258176,0.727683,0.799372,0.275707,-0.502591,0.750271,0.329365
-0.231657,0.727162,0.835873,0.292953,-0.496139,0.737523,0.352257
-0.226254,0.710623,0.835618,0.309985,-0.488052,0.72517,0.373955
-0.207173,0.720298,0.852615,0.328052,-0.480271,0.710411,0.396281
-0.199315,0.712277,0.880136,0.34456,-0.472271,0.695613,0.417566
